cycle,pc_if,pc_id,instr,is_decoding,id_ready,ex_ready,load_stall,jr_stall,misaligned_stall,branch_dec,pc_set,data_req,data_gnt,data_rvalid,if_busy,perf_imiss,instr_valid_id
0,0x00000000,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,0x00000000,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2,0x00000000,0x00000000,0x00000000,0,1,1,0,0,0,0,1,0,0,0,1,0,0
3,0x00000080,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,1,0,0
4,0x00000084,0x00000080,0x00c0006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1
5,0x0000008c,0x00000080,0x00c0006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0
6,0x0000008e,0x0000008c,0x00000093,1,1,1,0,0,0,0,0,0,0,0,1,0,1
7,0x00000090,0x0000008e,0x00100133,1,1,1,0,0,0,1,0,0,0,0,1,0,1
8,0x00000092,0x00000090,0x001001b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
9,0x00000094,0x00000092,0x00100233,1,1,1,0,0,0,1,0,0,0,0,1,0,1
10,0x00000096,0x00000094,0x001002b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
11,0x00000098,0x00000096,0x00100333,1,1,1,0,0,0,1,0,0,0,0,1,0,1
12,0x0000009a,0x00000098,0x001003b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
13,0x0000009c,0x0000009a,0x00100433,1,1,1,0,0,0,1,0,0,0,0,1,0,1
14,0x0000009e,0x0000009c,0x001004b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
15,0x000000a0,0x0000009e,0x00100533,1,1,1,0,0,0,1,0,0,0,0,1,0,1
16,0x000000a2,0x000000a0,0x001005b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
17,0x000000a4,0x000000a2,0x00100633,1,1,1,0,0,0,1,0,0,0,0,1,0,1
18,0x000000a6,0x000000a4,0x001006b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
19,0x000000a8,0x000000a6,0x00100733,1,1,1,0,0,0,1,0,0,0,0,1,0,1
20,0x000000aa,0x000000a8,0x001007b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
21,0x000000ac,0x000000aa,0x00100833,1,1,1,0,0,0,1,0,0,0,0,1,0,1
22,0x000000ae,0x000000ac,0x001008b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
23,0x000000b0,0x000000ae,0x00100933,1,1,1,0,0,0,1,0,0,0,0,1,0,1
24,0x000000b2,0x000000b0,0x001009b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
25,0x000000b4,0x000000b2,0x00100a33,1,1,1,0,0,0,1,0,0,0,0,1,0,1
26,0x000000b6,0x000000b4,0x00100ab3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
27,0x000000b8,0x000000b6,0x00100b33,1,1,1,0,0,0,1,0,0,0,0,1,0,1
28,0x000000ba,0x000000b8,0x00100bb3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
29,0x000000bc,0x000000ba,0x00100c33,1,1,1,0,0,0,1,0,0,0,0,1,0,1
30,0x000000be,0x000000bc,0x00100cb3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
31,0x000000c0,0x000000be,0x00100d33,1,1,1,0,0,0,1,0,0,0,0,1,0,1
32,0x000000c2,0x000000c0,0x00100db3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
33,0x000000c4,0x000000c2,0x00100e33,1,1,1,0,0,0,1,0,0,0,0,1,0,1
34,0x000000c6,0x000000c4,0x00100eb3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
35,0x000000c8,0x000000c6,0x00100f33,1,1,1,0,0,0,1,0,0,0,0,1,0,1
36,0x000000ca,0x000000c8,0x00100fb3,1,1,1,0,0,0,1,0,0,0,0,1,0,1
37,0x000000ce,0x000000ca,0x00100117,1,1,1,0,0,0,1,0,0,0,0,1,0,1
38,0x000000d2,0x000000ce,0xf3610113,1,1,1,0,0,0,0,0,0,0,0,1,0,1
39,0x000000d6,0x000000d2,0x01bd5763,1,1,1,0,0,0,0,0,0,0,0,1,0,1
40,0x000000da,0x000000d6,0x000d2023,0,1,1,0,0,0,1,1,0,0,0,1,0,1
41,0x000000e0,0x000000d6,0x000d2023,0,1,1,0,0,0,1,0,0,0,0,1,0,0
42,0x000000e2,0x000000e0,0x00000513,1,1,1,0,0,0,1,0,0,0,0,1,0,1
43,0x000000e4,0x000000e2,0x00000593,1,1,1,0,0,0,1,0,0,0,0,1,0,1
44,0x000000e8,0x000000e4,0x25d000ef,1,1,1,0,0,0,1,1,0,0,0,1,0,1
45,0x00000b40,0x000000e4,0x25d000ef,0,1,1,0,0,0,0,0,0,0,0,1,0,0
46,0x00000b42,0x00000b40,0xfe010113,1,1,1,0,0,0,0,0,0,0,0,1,0,1
47,0x00000b44,0x00000b42,0x00112e23,1,1,1,0,0,0,0,0,0,0,0,1,0,1
48,0x00000b46,0x00000b44,0x00812c23,1,1,1,0,0,0,0,0,1,1,0,1,0,1
49,0x00000b48,0x00000b46,0x00912a23,1,1,1,0,0,0,0,0,1,1,1,1,0,1
50,0x00000b4c,0x00000b48,0x00102437,1,1,1,0,0,0,0,0,1,1,1,1,0,1
51,0x00000b50,0x00000b4c,0x00100537,1,1,1,0,0,0,0,0,0,0,1,1,0,1
52,0x00000b54,0x00000b50,0x12050513,1,1,1,0,0,0,0,0,0,0,0,1,0,1
