cycle,pc_if,pc_id,instr,is_decoding,id_ready,ex_ready,load_stall,jr_stall,misaligned_stall,branch_dec,pc_set,data_req,data_gnt,data_rvalid,if_busy,perf_imiss,instr_valid_id,mnemonic,category
0,0x00000000,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,0,1,0,c.addi4spn,ifetch_miss
1,0x00000000,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,0,1,0,c.addi4spn,ifetch_miss
2,0x00000000,0x00000000,0x00000000,0,1,1,0,0,0,0,1,0,0,0,1,0,0,c.addi4spn,jump_redirect
3,0x00000080,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,1,1,0,c.addi4spn,ifetch_miss
4,0x00000080,0x00000000,0x00000000,0,1,1,0,0,0,0,0,0,0,0,1,0,0,c.addi4spn,ifetch_miss
5,0x00000084,0x00000080,0x00c0006f,1,1,1,0,0,0,0,1,0,0,0,1,0,1,jal,jump_redirect
6,0x0000008c,0x00000080,0x00c0006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0,jal,ifetch_miss
7,0x0000008c,0x00000080,0x00c0006f,0,1,1,0,0,0,0,0,0,0,0,1,1,0,jal,ifetch_miss
8,0x0000008c,0x00000080,0x00c0006f,0,1,1,0,0,0,0,0,0,0,0,1,0,0,jal,ifetch_miss
9,0x0000008e,0x0000008c,0x00000093,1,1,1,0,0,0,0,0,0,0,0,1,1,1,addi,useful_other
10,0x0000008e,0x0000008c,0x00000093,0,1,1,0,0,0,1,0,0,0,0,1,0,0,addi,ifetch_miss
11,0x00000090,0x0000008e,0x00100133,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
12,0x00000092,0x00000090,0x001001b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
13,0x00000094,0x00000092,0x00100233,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
14,0x00000096,0x00000094,0x001002b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
15,0x00000098,0x00000096,0x00100333,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
16,0x0000009a,0x00000098,0x001003b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
17,0x0000009c,0x0000009a,0x00100433,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
18,0x0000009e,0x0000009c,0x001004b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
19,0x000000a0,0x0000009e,0x00100533,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
20,0x000000a2,0x000000a0,0x001005b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
21,0x000000a4,0x000000a2,0x00100633,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
22,0x000000a6,0x000000a4,0x001006b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
23,0x000000a8,0x000000a6,0x00100733,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
24,0x000000aa,0x000000a8,0x001007b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
25,0x000000ac,0x000000aa,0x00100833,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
26,0x000000ae,0x000000ac,0x001008b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
27,0x000000b0,0x000000ae,0x00100933,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
28,0x000000b2,0x000000b0,0x001009b3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
29,0x000000b4,0x000000b2,0x00100a33,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
30,0x000000b6,0x000000b4,0x00100ab3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
31,0x000000b8,0x000000b6,0x00100b33,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
32,0x000000ba,0x000000b8,0x00100bb3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
33,0x000000bc,0x000000ba,0x00100c33,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
34,0x000000be,0x000000bc,0x00100cb3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
35,0x000000c0,0x000000be,0x00100d33,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
36,0x000000c2,0x000000c0,0x00100db3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
37,0x000000c4,0x000000c2,0x00100e33,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
38,0x000000c6,0x000000c4,0x00100eb3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
39,0x000000c8,0x000000c6,0x00100f33,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
40,0x000000ca,0x000000c8,0x00100fb3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,add,useful_other
41,0x000000ce,0x000000ca,0x00100117,1,1,1,0,0,0,1,0,0,0,0,1,1,1,auipc,useful_other
42,0x000000ce,0x000000ca,0x00100117,0,1,1,0,0,0,0,0,0,0,0,1,0,0,auipc,ifetch_miss
43,0x000000d2,0x000000ce,0xf3610113,1,1,1,0,0,0,0,0,0,0,0,1,1,1,addi,useful_other
44,0x000000d2,0x000000ce,0xf3610113,0,1,1,0,0,0,0,0,0,0,0,1,0,0,addi,ifetch_miss
45,0x000000d6,0x000000d2,0x01bd5763,1,1,1,0,0,0,0,0,0,0,0,1,1,1,bge,useful_other
46,0x000000d6,0x000000d2,0x01bd5763,0,1,1,0,0,0,1,1,0,0,0,1,0,0,bge,branch_penalty
47,0x000000e0,0x000000d2,0x01bd5763,0,1,1,0,0,0,1,0,0,0,0,1,1,0,bge,ifetch_miss
48,0x000000e0,0x000000d2,0x01bd5763,0,1,1,0,0,0,1,0,0,0,0,1,1,0,bge,ifetch_miss
49,0x000000e0,0x000000d2,0x01bd5763,0,1,1,0,0,0,1,0,0,0,0,1,1,0,bge,ifetch_miss
50,0x000000e0,0x000000d2,0x01bd5763,0,1,1,0,0,0,1,0,0,0,0,1,0,0,bge,ifetch_miss
51,0x000000e2,0x000000e0,0x00000513,1,1,1,0,0,0,1,0,0,0,0,1,1,1,addi,useful_other
52,0x000000e2,0x000000e0,0x00000513,0,1,1,0,0,0,1,0,0,0,0,1,0,0,addi,ifetch_miss
53,0x000000e4,0x000000e2,0x00000593,1,1,1,0,0,0,1,0,0,0,0,1,0,1,addi,useful_other
54,0x000000e8,0x000000e4,0x217000ef,1,1,1,0,0,0,1,1,0,0,0,1,0,1,jal,branch_penalty
55,0x00000afa,0x000000e4,0x217000ef,0,1,1,0,0,0,0,0,0,0,0,1,1,0,jal,ifetch_miss
56,0x00000afa,0x000000e4,0x217000ef,0,1,1,0,0,0,0,0,0,0,0,1,0,0,jal,ifetch_miss
57,0x00000afc,0x00000afa,0xfe010113,1,1,1,0,0,0,0,0,0,0,0,1,1,1,addi,useful_other
58,0x00000afc,0x00000afa,0xfe010113,0,1,1,0,0,0,0,0,0,0,0,1,0,0,addi,ifetch_miss
59,0x00000afe,0x00000afc,0x00112e23,1,1,1,0,0,0,0,0,0,0,0,1,1,1,sw,useful_other
60,0x00000afe,0x00000afc,0x00112e23,0,1,1,0,0,0,0,0,1,1,0,1,0,0,sw,ifetch_miss
61,0x00000b00,0x00000afe,0x00812c23,1,1,1,0,0,0,0,0,0,0,1,1,0,1,sw,useful_other
62,0x00000b02,0x00000b00,0x00912a23,1,1,1,0,0,0,0,0,1,1,0,1,0,1,sw,useful_other
63,0x00000b06,0x00000b02,0x00102437,1,1,1,0,0,0,0,0,1,1,1,1,1,1,lui,useful_other
64,0x00000b06,0x00000b02,0x00102437,0,1,1,0,0,0,0,0,0,0,1,1,0,0,lui,ifetch_miss
65,0x00000b0a,0x00000b06,0x00100537,1,1,1,0,0,0,0,0,0,0,0,1,1,1,lui,useful_other
66,0x00000b0a,0x00000b06,0x00100537,0,1,1,0,0,0,0,0,0,0,0,1,0,0,lui,ifetch_miss
67,0x00000b0e,0x00000b0a,0x12050513,1,1,1,0,0,0,0,0,0,0,0,1,1,1,addi,useful_other
68,0x00000b0e,0x00000b0a,0x12050513,0,1,1,0,0,0,0,0,0,0,0,1,0,0,addi,ifetch_miss
69,0x00000b12,0x00000b0e,0x001005b7,1,1,1,0,0,0,0,0,0,0,0,1,1,1,lui,useful_other
70,0x00000b12,0x00000b0e,0x001005b7,0,1,1,0,0,0,0,0,0,0,0,1,0,0,lui,ifetch_miss
71,0x00000b16,0x00000b12,0x10058593,1,1,1,0,0,0,0,0,0,0,0,1,1,1,addi,useful_other
72,0x00000b16,0x00000b12,0x10058593,0,1,1,0,0,0,0,0,0,0,0,1,0,0,addi,ifetch_miss
73,0x00000b18,0x00000b16,0x00410613,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
74,0x00000b1a,0x00000b18,0x00410493,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
75,0x00000b1c,0x00000b1a,0xb4bff0ef,1,1,1,0,0,0,0,1,0,0,0,1,0,1,jal,jump_redirect
76,0x00000664,0x00000b1a,0xb4bff0ef,0,1,1,0,0,0,0,0,0,0,0,1,1,0,jal,ifetch_miss
77,0x00000664,0x00000b1a,0xb4bff0ef,0,1,1,0,0,0,0,0,0,0,0,1,1,0,jal,ifetch_miss
78,0x00000664,0x00000b1a,0xb4bff0ef,0,1,1,0,0,0,0,0,0,0,0,1,0,0,jal,ifetch_miss
